Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Is_laundering,Laundering_type,DateTime,HourOfDay,DayOfWeek,TimeSinceLastTx,RollingSum_Amount_5,PayType_ACH,PayType_Cash Deposit,PayType_Cash Withdrawal,PayType_Cheque,PayType_Credit card,PayType_Cross-border,PayType_Debit card,IsInternational,Repeat_Tx_Count_Sender_Receiver,Sender_account_encoded,Receiver_account_encoded,Sender_bank_location_encoded,Receiver_bank_location_encoded,Transaction_Frequency,Amount_Mean,Time_Diff,Sender_In_Degree,Sender_Out_Degree,Sender_PageRank,Unique_Receivers,Transaction_ID
14:30:17,2023-02-20,465789,4143453021,2604.56,UK pounds,UK pounds,UK,UK,0,Normal_Cash_Deposits,2023-02-20 14:30:17,14,0,0.0,2604.56,False,True,False,False,False,False,False,0,1,0,13042,16,16,1,2604.56,0.0,0,1,2.1221511298443555e-05,1,TXN5988
01:13:24,2023-07-04,716444,2599908664,13889.78,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-07-04 01:13:24,1,1,0.0,13889.78,True,False,False,False,False,False,False,0,1,1,8128,16,16,2,10355.3,0.0,0,2,2.1221511298443555e-05,2,TXN2383
16:13:07,2023-07-04,716444,7186526830,6820.82,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-07-04 16:13:07,16,1,53983.0,20710.6,False,False,False,False,True,False,False,0,1,1,22708,16,16,2,10355.3,53983.0,0,2,2.1221511298443555e-05,2,TXN3205
21:54:15,2023-07-02,1021972,3755521701,5293.14,UK pounds,Swiss franc,UK,Switzerland,0,Normal_Small_Fan_Out,2023-07-02 21:54:15,21,6,0.0,5293.14,False,False,False,False,False,True,False,1,1,2,11799,16,13,1,5293.14,0.0,0,1,2.1221511298443555e-05,1,TXN979
21:15:03,2023-04-09,2207173,390322327,3967.48,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-04-09 21:15:03,21,6,0.0,3967.48,False,False,False,False,True,False,False,0,1,5,1278,16,16,2,16411.37,0.0,2,2,5.732482146310268e-05,2,TXN1758
17:18:53,2023-06-09,2207173,9667441308,28855.26,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-06-09 17:18:53,17,4,5256230.0,32822.74,False,False,False,True,False,False,False,0,1,5,30566,16,16,2,16411.37,5256230.0,2,2,5.732482146310268e-05,2,TXN16528
17:52:45,2022-10-28,5038103,6595984789,1742.08,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2022-10-28 17:52:45,17,4,0.0,1742.08,False,False,False,False,True,False,False,0,1,11,20856,16,16,1,1742.08,0.0,0,1,2.1221511298443555e-05,1,TXN7692
08:24:09,2023-04-27,5096078,5011673781,9496.82,UK pounds,UK pounds,UK,UK,0,Normal_Fan_Out,2023-04-27 08:24:09,8,3,0.0,9496.82,False,False,False,True,False,False,False,0,1,12,15835,16,16,3,8519.246666666666,0.0,1,3,3.927316638077312e-05,3,TXN926
06:32:31,2023-05-08,5096078,8920727392,4495.03,UK pounds,Albanian lek,UK,UK,0,Normal_Foward,2023-05-08 06:32:31,6,0,943702.0,13991.85,True,False,False,False,False,False,False,0,1,12,28228,16,16,3,8519.246666666666,943702.0,1,3,3.927316638077312e-05,3,TXN479
23:02:09,2023-05-30,5096078,7531791088,11565.89,UK pounds,UK pounds,UK,UK,0,Normal_Small_Fan_Out,2023-05-30 23:02:09,23,1,1960178.0,25557.74,False,False,False,False,True,False,False,0,1,12,23787,16,16,3,8519.246666666666,1960178.0,1,3,3.927316638077312e-05,3,TXN18208
